tuning,local_root,local_root_ratio,local_interval,note,note_ratio,combined_ratio,frequency_hz,cents_vs_12_tet,cents_vs_fixed_c_ji
Recursive just intonation,C,1.000000000,0,C,1.000000000,1.000000000,130.813,0.000,0.000
Recursive just intonation,C,1.000000000,1,C#/Db,1.062500000,1.062500000,138.989,4.955,0.000
Recursive just intonation,C,1.000000000,2,D,1.125000000,1.125000000,147.164,3.910,0.000
Recursive just intonation,C,1.000000000,3,D#/Eb,1.187500000,1.187500000,155.340,-2.487,0.000
Recursive just intonation,C,1.000000000,4,E,1.250000000,1.250000000,163.516,-13.686,0.000
Recursive just intonation,C,1.000000000,5,F,1.312500000,1.312500000,171.692,-29.219,0.000
Recursive just intonation,C,1.000000000,6,F#/Gb,1.375000000,1.375000000,179.868,-48.682,0.000
Recursive just intonation,C,1.000000000,7,G,1.500000000,1.500000000,196.219,1.955,0.000
Recursive just intonation,C,1.000000000,8,G#/Ab,1.625000000,1.625000000,212.571,40.528,0.000
Recursive just intonation,C,1.000000000,9,A,1.687500000,1.687500000,220.747,5.865,0.000
Recursive just intonation,C,1.000000000,10,A#/Bb,1.750000000,1.750000000,228.922,-31.174,0.000
Recursive just intonation,C,1.000000000,11,B,1.875000000,1.875000000,245.274,-11.731,0.000
Recursive just intonation,C#/Db,1.062500000,11,C,1.875000000,1.992187500,260.604,-6.776,-6.776
Recursive just intonation,C#/Db,1.062500000,0,C#/Db,1.000000000,1.062500000,138.989,4.955,0.000
Recursive just intonation,C#/Db,1.062500000,1,D,1.062500000,1.128906250,147.675,9.911,6.001
Recursive just intonation,C#/Db,1.062500000,2,D#/Eb,1.125000000,1.195312500,156.362,8.865,11.352
Recursive just intonation,C#/Db,1.062500000,3,E,1.187500000,1.261718750,165.049,2.468,16.155
Recursive just intonation,C#/Db,1.062500000,4,F,1.250000000,1.328125000,173.736,-8.731,20.488
Recursive just intonation,C#/Db,1.062500000,5,F#/Gb,1.312500000,1.394531250,182.423,-24.264,24.418
Recursive just intonation,C#/Db,1.062500000,6,G,1.375000000,1.460937500,191.109,-43.727,-45.682
Recursive just intonation,C#/Db,1.062500000,7,G#/Ab,1.500000000,1.593750000,208.483,6.910,-33.617
Recursive just intonation,C#/Db,1.062500000,8,A,1.625000000,1.726562500,225.856,45.483,39.618
Recursive just intonation,C#/Db,1.062500000,9,A#/Bb,1.687500000,1.792968750,234.543,10.820,41.995
Recursive just intonation,C#/Db,1.062500000,10,B,1.750000000,1.859375000,243.230,-26.219,-14.487
Recursive just intonation,D,1.125000000,10,C,1.750000000,1.968750000,257.538,-27.264,-27.264
Recursive just intonation,D,1.125000000,11,C#/Db,1.875000000,2.109375000,275.933,-7.821,-12.777
Recursive just intonation,D,1.125000000,0,D,1.000000000,1.125000000,147.164,3.910,0.000
Recursive just intonation,D,1.125000000,1,D#/Eb,1.062500000,1.195312500,156.362,8.865,11.352
Recursive just intonation,D,1.125000000,2,E,1.125000000,1.265625000,165.560,7.820,21.506
Recursive just intonation,D,1.125000000,3,F,1.187500000,1.335937500,174.758,1.423,30.642
Recursive just intonation,D,1.125000000,4,F#/Gb,1.250000000,1.406250000,183.956,-9.776,38.906
Recursive just intonation,D,1.125000000,5,G,1.312500000,1.476562500,193.153,-25.309,-27.264
Recursive just intonation,D,1.125000000,6,G#/Ab,1.375000000,1.546875000,202.351,-44.772,-85.300
Recursive just intonation,D,1.125000000,7,A,1.500000000,1.687500000,220.747,5.865,0.000
Recursive just intonation,D,1.125000000,8,A#/Bb,1.625000000,1.828125000,239.142,44.438,75.612
Recursive just intonation,D,1.125000000,9,B,1.687500000,1.898437500,248.340,9.775,21.506
Recursive just intonation,D#/Eb,1.187500000,9,C,1.687500000,2.003906250,262.137,3.378,3.378
Recursive just intonation,D#/Eb,1.187500000,10,C#/Db,1.750000000,2.078125000,271.845,-33.661,-38.616
Recursive just intonation,D#/Eb,1.187500000,11,D,1.875000000,2.226562500,291.263,-14.218,-18.128
Recursive just intonation,D#/Eb,1.187500000,0,D#/Eb,1.000000000,1.187500000,155.340,-2.487,0.000
Recursive just intonation,D#/Eb,1.187500000,1,E,1.062500000,1.261718750,165.049,2.468,16.155
