Overtone Index,N(Semitones+1),Ratio,Multiple,,Overtone ,N,Ratio,,Multiple,,Overtone ,N,Ratio,,Multiple
1,1,1,,,1,1,1,1/1,,,1,1,1,1/1,
2,13,2,part of the geometric sequence of 1\prime,,3,8,1.5,3/2,prime,,3,8,1.5,3/2,prime
3,8,1.5,prime,,5,5,1.25,5/4,prime,,5,5,1.25,5/4,prime
4,13,2,part of the geometric sequence of 2,,7,unused,1.75,7/4,prime,,9,3,1.125,9/8,
5,5,1.25,prime,,9,3,1.125,9/8,,,15,12,1.875,15/8,
6,8,1.5,part of the geometric sequence of 3,,11,unused,1.375,11/8,prime,,17,2,1.0625,17/16,prime
7,,1.75,prime,,13,unused,1.625,13/8,prime,,19,4,1.1875,19/16,prime
8,13,2,part of the geometric sequence of 2,,15,12,1.875,15/8,,,27,10,1.6875,27/16,
9,3,1.125,,,17,2,1.0625,17/16,prime,,45,7,1.40625,45/32,
10,5,1.25,part of the geometric sequence of 5,,19,4,1.1875,19/16,prime,,51,9,1.59375,51/32,
11,,1.375,prime,,21,unused,1.3125,21/16,,,57,11,1.78125,57/32,
12,8,1.5,part of the geometric sequence of 3,,23,unused,1.4375,23/16,prime,,,,,,
13,,1.625,prime,,25,unused,1.5625,25/16,,,,,,,
14,,1.75,part of the geometric sequence of 7,,27,10,1.6875,27/16,,,,,,,
15,12,1.875,,,29,unused,1.8125,29/16,prime,,,,,,
16,8,2,part of the geometric sequence of 2,,31,unused,1.9375,31/32,prime,,,,,,
17,2,1.0625,prime,,33,unused,1.03125,33/32,,,,,,,
18,3,1.125,part of the geometric sequence of 9,,35,unused,1.09375,35/32,,,,,,,
19,4,1.1875,prime,,37,unused,1.15625,37/32,prime,,,,,,
20,5,1.25,part of the geometric sequence of 5,,39,unused,1.21875,39/32,,,,,,,
21,,1.3125,,,41,unused,1.28125,41/32,prime,,,,,,
22,,1.375,part of the geometric sequence of 11,,43,unused,1.34375,43/32,prime,,,,,,
23,,1.4375,prime,,45,7,1.40625,45/32,,,,,,,
24,8,1.5,part of the geometric sequence of 3,,47,unused,1.46875,47/32,prime,,,,,,
25,,1.5625,,,49,unused,1.53125,49/32,,,,,,,
26,,1.625,part of the geometric sequence of 13,,51,9,1.59375,51/32,,,,,,,
27,10,1.6875,,,53,unused,1.65625,53/32,prime,,,,,,
28,,1.75,part of the geometric sequence of 7,,55,unused,1.71875,55/32,,,,,,,
29,,1.8125,prime,,57,11,1.78125,57/32,,,,,,,
30,12,1.875,part of the geometric sequence of 15,,59,unused,1.84375,59/32,prime,,,,,,
31,,1.9375,prime,,61,unused,1.90625,61/32,prime,,,,,,
32,13,2,part of the geometric sequence of 2,,63,unused,1.96875,63/32,,,,,,,
33,,,,,,,,,,,,,,,
34,,,part of the geometric sequence of 17,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,part of the geometric sequence of 9,,,,,,,,,,,,
37,,,prime,,,,,,,,,,,,
38,,,part of the geometric sequence of 19,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,part of the geometric sequence of 5,,,,,,,,,,,,
41,,,prime,,,,,,,,,,,,
42,,,part of the geometric sequence of 21,,,,,,,,,,,,
43,,1.34375,prime,,,,,,,,,,,,
44,,,part of the geometric sequence of 11,,,,,,,,,,,,
45,7,1.40625,,,,,,,,,,,,,
46,,,part of the geometric sequence of 23,,,,,,,,,,,,
47,,,prime,,,,,,,,,,,,
48,,,part of the geometric sequence of 3,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,part of the geometric sequence of 25,,,,,,,,,,,,
51,9,1.59375,,,,,,,,,,,,,
52,,,part of the geometric sequence of 13,,,,,,,,,,,,
53,,,prime,,,,,,,,,,,,
54,,,part of the geometric sequence of 27,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,part of the geometric sequence of 7,,,,,,,,,,,,
57,11,1.78125,,,,,,,,,,,,,
58,,,part of the geometric sequence of 29,,,,,,,,,,,,
59,,,prime,,,,,,,,,,,,
60,,,part of the geometric sequence of 15,,,,,,,,,,,,
61,,,prime,,,,,,,,,,,,
62,,,part of the geometric sequence of 31,,,,,,,,,,,,
63,,,,,,,,,,,,,,,
64,,,part of the geometric sequence of 2,,,,,,,,,,,,
